english,german
"""If a group of people or if disabled persons are crossing the street, the green phase is extended, thus ensuring that everyone gets safely across the street,"" explained Arnold.","""Sollte eine Gruppe oder gehbehinderte Menschen über die Straße gehen, wird die Grünphase verlängert, es kommt also jeder sicher über die Fahrbahn"", erklärte Arnold."
"Of course, drivers must also play their part and keep their eyes on the road.",Natürlich müsse der Autofahrer hier als Partner mitdenken und die Fahrbahn beobachten.
Yesterday this was not the case: The light had barely turned green for pedestrians when a luxury vehicle sped through on a red light.,"Dies war gestern nicht der Fall: Kaum zeigte die Ampel für Fußgänger grün, rauschte ein Oberklasse-Fahrzeug durch - bei leuchtendem Rot."
"For more than 30 years, Josef Winkler has been writing from the heart, telling of the hardships of his childhood and youth.",Josef Winkler schreibt sich seit mehr als 30 Jahren die Nöte seiner Kindheit und Jugend von der Seele.
"The catastrophes of his Catholic village upbringing - the speechlessness, his tendency towards brute force and dulled sexuality, the confinement and lack of joy - all of this has been described many times by the Kaernten-born poet.","Die Katastrophen seiner katholischen Dorfkindheit - die Sprachlosigkeit, der Hang zu roher Gewalt und stumpfer Sexualität, die Enge und Freudlosigkeit - hat der Kärntner Dichter vielfach beschrieben."
"The Büchner prizewinner is known primarily as a writer of prose, with theatre texts something of a rarity for him.","Bekannt ist der Büchner-Preisträger vor allem als Prosaautor, Theatertexte sind in seinem Werk rar."
"In a collage of prose texts For his performance piece, ""Wetterleuchten auf der Zungenspitze"" (Summer lightning on the tip of your tongue), which can now be seen in Garage X on Petersplatz, Gerhard Fresacher ,creates a collage of prose texts.","Collage aus Prosatexten Gerhard Fresacher stellt für seine Aufführung ""Wetterleuchten auf der Zungenspitze"", die nun in der Garage X am Petersplatz zu sehen ist, daher eine Collage aus Prosatexten zusammen."
"The theatre producer has thus combined elements from the autobiographically inspired novel ""Der Leibeigene"" (1987) [The Bondsman] featuring prose miniatures from ""Leichnam, seine Familie belauernd"" (2003) [Corpse, stalking his family].","Der Theatermacher verbindet etwa Elemente aus dem autobiografisch geprägten Roman ""Der Leibeigene"" (1987) mit Prosaminiaturen aus ""Leichnam, seine Familie belauernd"" (2003)."
"On the predominantly empty stage - with one important requirement: a crumpled sofa, on which cast members allude to copulating and masturbating - the eight-person ensemble work their way through the text material.","Auf der weitgehend leergeräumten Bühne - wichtiges Requisit: ein zerknautschtes Sofa, auf dem andeutungsweise kopuliert und masturbiert wird - hangelt sich das achtköpfige Ensemble durch das Textmaterial."
"However, Director Fresacher seems to have little trust in the text.",Dabei scheint Regisseur Fresacher dem Text wenig zu vertrauen.
"The 70-minute performance glosses over the script with a host of director's additions, well-known from the repertoire of post-dramatic theatrical styles.","Die 70-minütige Performance übertüncht die Vorlage mit einer Fülle an Regieeinfällen, bekannt aus dem Repertoire postdramatischer Spielformen."
"In particular, the actresses play a major role in the sometimes rather dubious staging.",Vor allem die Schauspielerinnen kommen bei den mitunter etwas fragwürdigen szenischen Umsetzungen dran.
"They are manhandled, their heads held under water, tacked to the wall by their evening gowns.","Sie werden hart angefasst, mit dem Kopf unter Wasser getaucht, mit ihren Abendroben an die Wand getackert."
"Wrapped in cellophane or in girdles, they stumble on dangerously high heels across the set, either delivering monologues at the top of their voices or lying completely silent on the stage.","Eingezwängt in Zellophan oder Mieder, staksen sie auf gefährlich hohen Stöckeln durch die Inszenierung, entweder monologisieren sie lautstark oder liegen völlig verstummt auf dem Bühnenboden."
"However, the source text makes barely any reference to this intense delivery.",Der Text vermittelt sich auf diese angestrengte Weise jedoch kaum.
The best moments of the evening is when the singing starts - tracks range from Deep Purple to traditional folk songs.,"Die besten Momente hat der Abend, wenn gesungen wird - die Bandbreite reicht von Deep Purple bis zu volkstümlichem Liedgut."
"Only towards the end does the highly charged performance start to wind down, and we see flashes of Winkler's somewhat absurd sense of humour.","Erst gegen Ende kommt die überdrehte Aufführung etwas zur Ruhe, und Winklers nachgerade absurder Humor blitzt auf."
A black box in your car?,Eine Blackbox im Auto?
"As America's road planners struggle to find the cash to mend a crumbling highway system, many are beginning to see a solution in a little black box that fits neatly by the dashboard of your car.","US-amerikanische Straßenplaner sind auf der Suche nach einer Geldquelle, um das verfallende Highway-System zu reparieren, und glauben die Lösung in einem kleinen schwarzen Kasten gefunden zu haben, der im Armaturenbrett jedes Autos Platz findet."
"The devices, which track every mile a motorist drives and transmit that information to bureaucrats, are at the center of a controversial attempt in Washington and state planning offices to overhaul the outdated system for funding America's major roads.","Die Geräte, die jeden gefahrenen Kilometer aufzeichnen und die Informationen an die Behörden melden, sind Kernpunkt eines kontroversen Versuchs von Washington und den Planungsbüros der Bundesstaaten, das veraltete System zur Finanzierung US-amerikanischer Straßen zu überarbeiten."
The usually dull arena of highway planning has suddenly spawned intense debate and colorful alliances.,Das normalerweise eher langweilige Gebiet der Straßenplanung hat plötzlich eine intensive Debatte mit bunten Allianzen entfacht.
"Libertarians have joined environmental groups in lobbying to allow government to use the little boxes to keep track of the miles you drive, and possibly where you drive them - then use the information to draw up a tax bill.","Libertäre haben sich mit Umweltgruppen verbündet und sprechen sich dafür aus, dass die Regierung die kleinen Boxen zum Aufzeichnen der gefahrenen Kilometer – und möglicherweise auch, wo sie gefahren wurden – verwenden und die Informationen dann für die Berechnung von Steuerbescheiden einsetzen kann."
The tea party is aghast.,Die Tea Party ist entsetzt.
"The American Civil Liberties Union is deeply concerned, too, raising a variety of privacy issues.",Die amerikanische Bürgerrechtsvereinigung (ACLU) ist ebenfalls zutiefst besorgt und äußert eine Reihe von Datenschutzbedenken.
"And while Congress can't agree on whether to proceed, several states are not waiting.","Doch während man sich im Kongress nicht auf ein Vorgehen einigen kann, warten mehrere Bundesstaaten nicht länger."
"They are exploring how, over the next decade, they can move to a system in which drivers pay per mile of road they roll over.","Sie prüfen derzeit, wie sie im Laufe der nächsten zehn Jahre zu einem System wechseln können, bei dem Fahrer pro gefahrener Meile bezahlen."
"Thousands of motorists have already taken the black boxes, some of which have GPS monitoring, for a test drive.","Tausende von Autofahrern haben die Fahrtenschreiber, von denen einige mit GPS-Überwachung ausgestattet sind, bereits getestet."
This really is a must for our nation.,Das ist wirklich ein Muss für unser Land.
"""It is not a matter of something we might choose to do,"" said Hasan Ikhrata, executive director of the Southern California Assn. of Governments, which is planning for the state to start tracking miles driven by every California motorist by 2025.","„Es ist nichts, das wir nur möglicherweise verwenden werden“, sagte Hasan Ikhrata, Geschäftsführer der Southern California Assn. of Governments, die eine Aufzeichnung der gefahrenen Meilen bei allen kalifornischen Autofahrern im Bundesstaat ab 2025 plant."
There is going to be a change in how we pay these taxes.,"Die Art und Weise, wie wir diese Steuern zahlen, wird sich verändern."
The technology is there to do it.,Die Technologie dafür ist da.
"The push comes as the country's Highway Trust Fund, financed with taxes Americans pay at the gas pump, is broke.","Die Initiative kommt zu einem Zeitpunkt, da der Highway Trust Fund, der aus den Steuern finanziert wird, die US-Amerikaner an der Zapfsäule entrichten, pleite ist."
Americans don't buy as much gas as they used to.,Doch in Amerika wird nicht mehr so viel getankt wie früher.
Cars get many more miles to the gallon.,Autos verbrauchen weniger Benzin.
"The federal tax itself, 18.4 cents per gallon, hasn't gone up in 20 years.","Die staatliche Mineralölsteuer von 18,4 Cent pro Gallone (weniger als 4 Eurocent pro Liter) ist seit 20 Jahren nicht gestiegen."
Politicians are loath to raise the tax even one penny when gas prices are high.,"Politiker wagen bei hohen Spritpreisen nicht, die Steuer auch nur um einen Cent anzuheben."
"""The gas tax is just not sustainable,"" said Lee Munnich, a transportation policy expert at the University of Minnesota.","„Die Benzinsteuer ist einfach nicht zukunftsfähig“, so Lee Munnich, ein Experte für Verkehrsgesetzgebung an der Universität von Minnesota."
His state recently put tracking devices on 500 cars to test out a pay-by-mile system.,"Sein Bundesstaat hat kürzlich 500 Autos mit Fahrtenschreibern ausgerüstet, mit denen ein meilenbasiertes Bezahlsystem getestet werden soll."
"""This works out as the most logical alternative over the long term,"" he said.","„Das stellt die langfristig sinnvollste Alternative dar“, sagte er."
Wonks call it a mileage-based user fee.,Bürokraten bezeichnen es als meilenbasierte Benutzergebühr.
"It is no surprise that the idea appeals to urban liberals, as the taxes could be rigged to change driving patterns in ways that could help reduce congestion and greenhouse gases, for example.","Es überrascht nicht, dass die Idee bei städtischen Liberalen Anklang findet, denn die Steuer ließe sich beispielsweise dazu einsetzen, das Fahrverhalten so zu beeinflussen, dass Staus und klimaschädliche Abgase reduziert werden."
California planners are looking to the system as they devise strategies to meet the goals laid out in the state's ambitious global warming laws.,"Die kalifornischen Planer setzen auf das System bei der Ausarbeitung von Strategien, mit denen die ambitionierten, gesetzlich verankerten Ziele des Bundesstaats zum Klimawandel erreicht werden sollen."
"But Rep. Bill Shuster (R-Pa.), chairman of the House Transportation Committee, has said he, too, sees it as the most viable long-term alternative.","Doch der Republikaner Bill Shuster aus Pennsylvania, Vorsitzender des House Transportation Committee, hat ebenfalls erklärt, dass er darin die gangbarste langfristige Alternative sehe."
The free marketeers at the Reason Foundation are also fond of having drivers pay per mile.,"Auch die freien Vermarkter der Reason Foundation sind von der Idee angetan, Fahrer nach zurückgelegter Strecke zahlen zu lassen."
"""This is not just a tax going into a black hole,"" said Adrian Moore, vice president of policy at Reason.","„Das ist keine Steuer, die in einem schwarzen Loch verschwindet“, erklärt Adrian Moore, Vizepräsident für Richtlinien bei Reason."
People are paying more directly into what they are getting.,"Die Leute bezahlen direkt für das, was sie bekommen."
"The movement is also bolstered by two former U.S. Transportation secretaries, who in a 2011 report urged Congress to move in the pay-per-mile direction.","Die Bewegung wird auch von zwei früheren amerikanischen Verkehrsministern unterstützt, die in einem Bericht im Jahr 2011 den Kongress aufgefordert hatten, sich in Richtung meilenbasierter Abrechnung zu bewegen."
"The U.S. Senate approved a $90-million pilot project last year that would have involved about 10,000 cars.","Der US-Senat genehmigte letztes Jahr ein 90 Millionen Dollar teures Pilotprojekt, das 10.000 Autos umfasst hätte."
"But the House leadership killed the proposal, acting on concerns of rural lawmakers representing constituents whose daily lives often involve logging lots of miles to get to work or into town.","Doch die Mehrheit im Repräsentantenhaus verhinderte den Vorstoß und reagierte damit auf die Bedenken von Abgeordneten aus ländlichen Gebieten, die Menschen vertreten, die im Alltag oft viele Meilen auf dem Weg zur Arbeit oder in die Stadt zurücklegen müssen."
Several states and cities are nonetheless moving ahead on their own.,Mehrere Bundesstaaten und Großstädte bewegen sich nichtsdestotrotz auf eigene Faust in diese Richtung.
"The most eager is Oregon, which is enlisting 5,000 drivers in the country's biggest experiment.","Am engagiertesten ist Oregon, das derzeit 5.000 Fahrer für das größte Experiment des Landes anwirbt."
Those drivers will soon pay the mileage fees instead of gas taxes to the state.,Diese Fahrer werden bald die Meilengebühren statt der Mineralölsteuer an den Bundesstaat zahlen.
Nevada has already completed a pilot.,Nevada hat bereits ein Pilotprojekt abgeschlossen.
New York City is looking into one.,New York City erwägt ebenfalls ein solches.
Illinois is trying it on a limited basis with trucks.,Illinois testet es in eingeschränktem Maße mit Lkws.
"And the I-95 Coalition, which includes 17 state transportation departments along the Eastern Seaboard (including Maryland, Pennsylvania, Virginia and Florida), is studying how they could go about implementing the change.","Und die I-95-Koalition, zu der die Verkehrsministerien von 17 Bundesstaaten an der Ostküste gehören (einschließlich Maryland, Pennsylvania, Virginia und Florida), untersucht derzeit, wie man die Änderung einführen könnte."
The concept is not a universal hit.,Das Konzept ist kein universeller Hit.
"In Nevada, where about 50 volunteers' cars were equipped with the devices not long ago, drivers were uneasy about the government being able to monitor their every move.","In Nevada, wo vor kurzem 50 Freiwillige mit den Geräten ausgestattet wurden, waren Autofahrer skeptisch beim Gedanken, die Regierung könnte jede ihrer Bewegungen verfolgen."
"""Concerns about Big Brother and those sorts of things were a major problem,"" said Alauddin Khan, who directs strategic and performance management at the Nevada Department of Transportation.","„Bedenken gegen Big Brother und derartige Dinge waren ein großes Problem“, erklärt Alauddin Khan, Leiter des Strategie- und Ergebnismanagements im Verkehrsministerium von Nevada."
It was not something people wanted.,Die Leute wollten es nicht.
"As the trial got underway, the ACLU of Nevada warned on its website: ""It would be fairly easy to turn these devices into full-fledged tracking devices.""","Als der Test anlief, warnte die ACLU von Nevada auf ihrer Website: „Es wäre relativ einfach, die Fahrtenschreiber in ausgewachsene Überwachungsgeräte zu verwandeln.“"
"There is no need to build an enormous, unwieldy technological infrastructure that will inevitably be expanded to keep records of individuals' everyday comings and goings.","Es bestehe keine Notwendigkeit, eine gigantische, sperrige technologische Infrastruktur aufzubauen, die unweigerlich dazu verwendet werden würde, Daten über die täglichen Bewegungen von Einzelpersonen zu erfassen."
"Nevada is among several states now scrambling to find affordable technology that would allow the state to keep track of how many miles a car is being driven, but not exactly where and at what time.","Nevada gehört zu einer Reihe von Bundesstaaten, die nun nach erschwinglicher Technologie Ausschau halten, mit der der Staat die gefahrenen Kilometer erfassen kann, aber nicht genau wann und wo."
"If you can do that, Khan said, the public gets more comfortable.","Damit, so Khan, wäre auch die Öffentlichkeit beruhigter."
The hunt for that technology has led some state agencies to a small California startup called True Mileage.,Die Jagd nach dieser Technologie hat einige Behörden zu einem kleinen Startup-Unternehmen namens True Mileage in Kalifornien geführt.
The firm was not originally in the business of helping states tax drivers.,"Die Firma ist ursprünglich nicht angetreten, um Bundesstaaten bei der Besteuerung von Autofahrern zu helfen."
"It was seeking to break into an emerging market in auto insurance, in which drivers would pay based on their mileage.","Vielmehr war es ihr Ziel, in einem aufstrebenden Markt für Kfz-Versicherungen Fuß zu fassen, bei denen Fahrer auf Grundlage der gefahrenen Meilen zahlen sollen."
"But the devices it is testing appeal to highway planners because they don't use GPS and deliver a limited amount of information, uploaded periodically by modem.","Doch die von ihr getesteten Geräte sind auch für die Straßenplaner interessant, denn sie arbeiten nicht mit GPS und liefern nur begrenzte Informationen, die regelmäßig per Modem hochgeladen werden."
"""People will be more willing to do this if you do not track their speed and you do not track their location,"" said Ryan Morrison, chief executive of True Mileage.","„Die Leute sind eher bereit, sich daran zu beteiligen, wenn ihre Geschwindigkeit und Standorte nicht aufgezeichnet werden“, erklärte Ryan Morrison, Geschäftsführer von True Mileage."
There have been some big mistakes in some of these state pilot programs.,In einigen dieser öffentlichen Pilotprogramme wurden große Fehler gemacht.
There are a lot less expensive and less intrusive ways to do this.,"Es gibt wesentlich billigere und weniger intrusive Möglichkeiten, dies umzusetzen."
"In Oregon, planners are experimenting with giving drivers different choices.","In Oregon experimentieren die Planer damit, Autofahrern eine Reihe von Auswahlmöglichkeiten zu geben."
They can choose a device with or without GPS.,Sie können sich für ein Gerät mit oder ohne GPS entscheiden.
"Or they can choose not to have a device at all, opting instead to pay a flat fee based on the average number of miles driven by all state residents.",Oder sie wählen überhaupt kein Gerät und zahlen stattdessen eine Pauschalgebühr auf Grundlage der durchschnittlich von allen Einwohnern des Bundesstaates gefahrenen Meilen.
"Other places are hoping to sell the concept to a wary public by having the devices do more, not less.","Andere Stellen hoffen, das Konzept einer misstrauischen Öffentlichkeit verkaufen zu können, indem sie die Geräte mit mehr Funktionen ausstatten als mit wenigeren."
"In New York City, transportation officials are seeking to develop a taxing device that would also be equipped to pay parking meter fees, provide ""pay-as-you-drive"" insurance, and create a pool of real-time speed data from other drivers that motorists could use to avoid traffic.","In New York City wollen Verkehrsbeamte ein Gerät zur Besteuerung entwickeln, mit dem sich auch Parkgebühren bezahlen lassen, eine Versicherung nur für gefahrene Kilometer bezahlt werden muss und Geschwindigkeitsdaten von anderen Fahrzeugen in Echtzeit erhoben werden, dank derer Autofahrer Staus ausweichen können."
"""Motorists would be attracted to participate because of the value of the benefits it offers to them,"" says a city planning document.","„Autofahrer würden durch den Mehrwert der Vorteile, die das System bietet, zur Teilnahme motiviert“, heißt es in einem Planungsdokument der Stadt."
"Some transportation planners, though, wonder if all the talk about paying by the mile is just a giant distraction.","Einige Verkehrsplaner fragen sich allerdings, ob das ganze Gerede über das Bezahlen pro Meile nicht nur ein riesiges Ablenkungsmanöver sei."
"At the Metropolitan Transportation Commission in the San Francisco Bay Area, officials say Congress could very simply deal with the bankrupt Highway Trust Fund by raising gas taxes.","Bei der Metropolitan Transportation Commission für das Gebiet der San Francisco Bay erklärten Beamte, der Kongress könne das Problem des bankrotten Highway Trust Fund einfach durch Erhöhung der Kraftstoffsteuer lösen."
"An extra one-time or annual levy could be imposed on drivers of hybrids and others whose vehicles don't use much gas, so they pay their fair share.","Eine zusätzliche einmalige Gebühr oder eine jährliche Abgabe könnte Autofahrern mit Hybridfahrzeugen oder anderen Fahrzeugen, die wenig Benzin verbrauchen, auferlegt werden, sodass auch diese einen fairen Anteil zahlen."
"""There is no need for radical surgery when all you need to do is take an aspirin,"" said Randy Rentschler, the commission's director of legislation and public affairs.","„Es gibt keinen Grund für eine Operation, wenn ein Aspirin auch ausreicht“, erläutert Randy Rentschler, der Leiter für Gesetzgebung und öffentliche Angelegenheiten der Kommission."
"If we do this, hundreds of millions of drivers will be concerned about their privacy and a host of other things.","Wenn wir das tun, machen sich Hunderte Millionen von Autofahrern sorgen über ihre Privatsphäre und zahlreiche andere Dinge."
Königsfeld: Small team gives a spirited performance,Königsfeld: Kleine Mannschaft schlägt sich wacker
The voluntary fire service bravely came through the main autumn test run in spite of a lack of personnel.,Die Freiwillige Feuerwehr bewältigte ihre Herbsthauptprobe trotz Personalmangels mit Bravour.
Only eleven men took part in the exercise.,Nur elf Mann nahmen an der Übung teil.
"For the training exercise, department commander, Hans Kammerer, chose the Feder premises on Burgberger Strasse.",Abteilungskommandant Hans Kammerer hatte sich in seiner Übungsannahme das Anwesen Feder in der Burgberger Straße ausgesucht.
A short-circuit was reported to have occurred there during sawing.,Dort soll beim Sägen ein Kurzschluss entstanden sein.
"Two people were injured by the resulting fire and the spread of smoke, however, one was able to make an emergency call.","Durch den entstehenden Brand und die Rauchentwicklung wurden zwei Menschen verletzt, einer davon konnte aber noch einen Notruf absenden."
Two fire fighters equipped with respiratory gear prepared to enter the building following the initial inspection of the situation by Hans Kammerer.,"Zwei Atemschutzträger der Wehr machten sich nach der ersten Überprüfung der Sachlage durch Hans Kammerer bereit, das Gebäude zu betreten."
After a short time they managed to find the first person and direct them out of the building.,"Nach kurzer Zeit gelang es, die erste Person zu finden und ins Freie zu geleiten."
The second person had to be carried.,Die zweite Person musste getragen werden.
This was not so simple as they also had to negotiate a narrow stairwell.,"Dies war nicht so einfach, da auch eine enge Treppe zu überwinden war."
"The building, a workshop with integrated stabling for two horses, was not easy to secure.","Das Gebäude, eine Werkstatt mit integrierter Stallung für zwei Pferde, war nicht einfach zu sichern."
There were large quantities of wood and bales of straw stored inside.,Es lagerte viel Holz und auch Strohballen darin.
"In addition to this, there were also electrical machines for wood processing.",Weiter gab es noch elektrische Maschinen zur Holzbearbeitung.
The first attempt to extinguish the fire was made using the tank on the fire engine.,Der erste Löschangriff erfolgte über den Tank im Fahrzeug.
Another line was taken from the surface hydrant around 100 metres away.,Eine weitere Leitung erfolgte über einen Überflur- Hydranten in rund 100 Meter Entfernung.
Only three attempts could be made to extinguish the blaze.,Nun konnten drei Löschangriffe gestaltet werden.
A hollow-stream nozzle in the building was also used.,Zum Einsatz kam auch im Gebäude ein Hohlstrahlrohr.
"For Hans Kammerer, the exercise was also a chance to show what can be achieved with just a few available staff.","Hans Kammerer ging es bei der Übung auch darum aufzuzeigen, was mit wenig zur Verfügung stehendem Personal zu bewerkstelligen ist."
"In case of emergency, support is provided by the Königsfeld daytime task force.",Im Ernstfall erfolgt eine Unterstützung über die Tageseinsatzgruppe Königsfeld.
The Commander expressed his satisfaction following the exercise.,Der Kommandant zeigte sich mit dem Ablauf der Übung zufrieden.
Networking between universities and companies is important,Vernetzung von Hochschulen und Firmen wichtig
"On a visit to the district of Breisgau-Hochschwarzwald, it was explained to Parliamentary President Guido Wolf in Titisee-Neustadt where the workforce of tomorrow will come from.","Auf seinem Besuch im Landkreis Breisgau-Hochschwarzwald ließ sich Landtagspräsident Guido Wolf auch in Titisee-Neustadt darüber aufklären, woher die Arbeitskräfte von morgen kommen."
"In the Hochschwarzwald Support Centre, he addressed this important question alongside the executive principals of the vocational colleges and the district grammar school and the chairs of the parents' council.",Im Förderzentrum Hochschwarzwald ging er zusammen mit den Geschäftsführenden Schulleitern der Beruflichen Schulen sowie des Kreisgymnasiums und den Elternbeiratsvorsitzenden dieser wichtigen Frage nach.
"""Education is an important factor for the location,"" highlighted Claudia Stehle, Director of the Hans Thoma School, which introduced the networked Hochschwarzwald Education Centre Schools Project.","""Bildung ist ein wichtiger Standortfaktor"", unterstrich Claudia Stehle, Direktorin der Hans-Thoma-Schule, die das vernetzte Schulprojekt Bildungszentrum Hochschwarzwald vorstellte."
"During the presentation, Wolf seemed impressed by the educational pilot project.",Dabei zeigte sich Wolf beeindruckt über die Modellprojekte zur Ausbildung.
"Since 2011, there has been successful collaboration in Wälderstadt between the Support Centre, the District Grammar School and the Vocational School Complex.","Seit 2011 existiert in der Wälderstadt eine erfolgreiche Zusammenarbeit zwischen Förderzentrum, Kreisgymnasium und Berufsschulzentrum."
He also praised the family-friendly approach within the district.,Außerdem lobte er die Familienfreundlichkeit im Landkreis.
"""It is important, not only to keep the family life stage in mind, but, on account of demographic change, the period spent providing long-term care and support for relatives as well,"" explained Wolf.","""Es ist wichtig, nicht nur die Familienphase im Blick zu haben, sondern aufgrund des demografischen Wandels auch die Phase um die Pflege der Betreuung von Angehörigen"", erklärte Wolf."
He also stated that an increasing number of employed persons are looking after the long-term care and support of relatives.,"Außerdem führte er an, dass sich immer mehr Beschäftigte um die Pflege und Betreuung ihrer Angehörigen kümmerten."
"""Without support from their employer, the resulting burden placed on employees could result in the termination of the employment contract,"" said Wolf.","""Ohne die Unterstützung der Arbeitgeber kann die daraus resultierende Belastung der Beschäftigten zu einer Beendigung des Arbeitsverhältnisses führen"", sagte Wolf."
"However, nobody can afford to lose qualified workers,"" he added.","Aber niemand könne es sich leisten, qualifizierte Arbeitskräfte zu verlieren, sagte er weiter."
"Another, particularly important factor is that of networking between universities and companies.","Ein weiterer, besonders wichtiger Faktor sei die Vernetzung von Hochschulen und Unternehmen."
"""After all, people who have learned of the merits of the region during their studies often remain within the region, along with their acquired knowledge and skills, which contributes to the strengthening of the region,"" said the State Parliamentary President, expressing his thorough conviction.","""Denn wer schon während seines Studiums die Vorzüge der Region kennengelernt hat, bleibt mit seinem erworbenen Wissen und seinen Fähigkeiten oft der regionalen Wirtschaft erhalten, was zur Stärkung der Region beiträgt"", zeigte sich der Landtagspräsident überzeugt."
For it is only if a sufficient number of educational places can be provided that the need for skilled workers can be covered.,"Denn nur wenn ausreichend Ausbildungsplätze angeboten würden, könne auch der Fachkräftebedarf gedeckt werden."
"In his opinion, the district's advantage as a location is its advantageous location in south-west Germany, in immediate proximity to France and Switzerland.","Seiner Meinung nach ist der Standortvorteil des Landkreises seine vorteilhafte Lage im Südwesten Deutschlands, in unmittelbarer Nähe zu Frankreich und zur Schweiz."
"In addition to this, on his train journey from Titisee-Neustadt to Freiburg, he experienced first-hand the efforts already undertaken to develop public transport.",Außerdem erlebte er auf seiner Bahnfahrt von Titisee-Neustadt nach Freiburg die bereits unternommenen Anstrengungen für den Ausbau des öffentlichen Personennahverkehrs.
